IMG_ID,base_dice,base_status,base_min_hu,base_thresh_vox,base_lcc_vox,artery_dice,ostia_detection_status,min_threshold_hu,threshold_voxel_count,lcc_voxel_count,variant,delta,lcc_delta,threshold_delta,status_changed
44,0.156288929710099,found but incorrect,-300.0,7813929,7622339,0.3949248902872665,both tolerable,-124.5,6889456,6109084,percentile_p16p0,0.23863596057716752,-1513255,-924473,True
129,0.7126447678184892,both tolerable,-300.0,11825263,11633983,0.7050523741863001,both tolerable,-87.0,10175785,9808029,percentile_p16p0,-0.0075923936321891095,-1825954,-1649478,False
518,0.6671289095440661,both tolerable,-300.0,11172219,10940762,0.7124785506205356,both tolerable,-91.25,9550066,8671687,percentile_p16p0,0.04534964107646944,-2269075,-1622153,False
793,0.7084307131049421,both tolerable,-300.0,9405673,9241075,0.719488627917348,both tolerable,-92.25,8056310,7793418,percentile_p16p0,0.011057914812405922,-1447657,-1349363,False
550,0.5417879417879418,both tolerable,-300.0,12646436,12528441,0.5413902708678828,both tolerable,-103.5,10828386,10608639,percentile_p16p0,-0.00039767092005893456,-1919802,-1818050,False
631,0.7243157984482905,both tolerable,-300.0,11110441,10876543,0.729665485348777,both tolerable,-94.75,9493660,8341762,percentile_p16p0,0.005349686900486428,-2534781,-1616781,False
330,0.6197146684842645,both tolerable,-300.0,10450446,10159836,0.6329451178495588,both tolerable,-96.75,9072856,8491097,percentile_p16p0,0.013230449365294272,-1668739,-1377590,False
90,0.6790472676587546,both tolerable,-300.0,11910696,11640398,0.6519746324589218,both tolerable,-98.5,10336206,8969437,percentile_p16p0,-0.027072635199832717,-2670961,-1574490,False
608,0.6666666666666666,both tolerable,-300.0,8745169,8649954,0.677011070110701,both tolerable,-108.25,7559825,7406122,percentile_p16p0,0.010344403444034422,-1243832,-1185344,False
887,0.550806599263584,both tolerable,-300.0,11160855,10810192,0.551956539498407,both tolerable,-90.0,9670001,8658161,percentile_p16p0,0.0011499402348229548,-2152031,-1490854,False
175,0.4584321949576744,both tolerable,-300.0,9988264,9789266,0.4169430444206513,both tolerable,-72.25,8631941,8138296,percentile_p16p0,-0.04148915053702312,-1650970,-1356323,False
760,0.7184318282425852,both tolerable,-300.0,11317959,10482444,0.7246048703182262,both tolerable,-93.0,9820132,8583368,percentile_p16p0,0.006173042075640955,-1899076,-1497827,False
696,0.6303600323624595,both tolerable,-300.0,8565969,8325140,0.6308425743600373,both tolerable,-86.25,7510367,7266236,percentile_p16p0,0.00048254199757780114,-1058904,-1055602,False
194,0.789477826928829,both tolerable,-300.0,12683474,12397124,0.7981996726677578,both tolerable,-73.75,10938613,10044899,percentile_p16p0,0.008721845738928868,-2352225,-1744861,False
305,0.6876775376649528,both tolerable,-300.0,11260109,11026716,0.6914953166399224,both tolerable,-103.75,9635121,8686789,percentile_p16p0,0.003817778974969599,-2339927,-1624988,False
344,0.7381695928277923,both tolerable,-300.0,12321281,10908226,0.7382962861533312,both tolerable,-104.25,10654532,8904577,percentile_p16p0,0.0001266933255389402,-2003649,-1666749,False
28,0.6709658928059616,both tolerable,-300.0,11132512,10785632,0.671135986223015,both tolerable,-117.0,10388779,10082598,percentile_p9p0,0.0001700934170533186,-703034,-743733,False
