lower_threshold_percentile,IMG_ID,normal_dice,normal_ostia_status,normal_left_dist_mm,normal_right_dist_mm,normal_artery_voxels,fuzzy_dice,fuzzy_ostia_status,fuzzy_left_dist_mm,fuzzy_right_dist_mm,fuzzy_artery_voxels,fuzzy_minus_normal_dice,fuzzy_minus_normal_voxels
11.0,129,0.7209429296335549,both tolerable,2.23828125,0.5,28937,0.7043380505224177,both tolerable,2.23828125,0.5,27151,-0.016604879111137172,-1786
11.0,518,0.6866107260124042,both tolerable,0.0,0.69140625,30072,0.7158502828258515,both tolerable,0.69140625,0.5,27847,0.029239556813447254,-2225
11.0,793,0.7224835935393006,both tolerable,0.8437861682062879,2.7741306352170945,18449,0.7382584412287383,both tolerable,0.8437861682062879,2.7741306352170945,16590,0.01577484768943771,-1859
11.0,550,0.5414666160063556,both tolerable,0.0,1.6331862610496235,11507,0.5436433298502265,both tolerable,0.0,1.6331862610496235,11266,0.002176713843870859,-241
11.0,631,0.7284982126706576,both tolerable,0.0,1.113000238656758,24450,0.7283584710970603,both tolerable,0.0,1.113000238656758,23561,-0.00013974157359730732,-889
11.0,330,0.6575439484001517,both tolerable,0.0,1.974511812933532,45810,0.6917661711748301,both tolerable,1.91015625,1.974511812933532,40606,0.034222222774678346,-5204
11.0,90,0.6846841865158909,both tolerable,1.3203125,0.5,34029,0.3860875899116817,both tolerable,1.4761542507713454,0.8281342128025279,16607,-0.29859659660420923,-17422
11.0,608,0.6757838314119979,both tolerable,1.3680800657879093,0.5,32349,0.0,found but incorrect,14.222497467185626,8.433013853673549,1873,-0.6757838314119979,-30476
11.0,887,0.5507848286813657,both tolerable,0.7890625,0.0,16424,0.5503122831367107,both tolerable,0.7890625,0.0,16299,-0.0004725455446550342,-125
11.0,175,0.46822023547804,both tolerable,0.9004562916672442,0.5,37525,0.4885465820542026,both tolerable,0.9004562916672442,0.5,31429,0.020326346576162613,-6096
11.0,760,0.7235686390615969,both tolerable,0.0,1.0541954870895625,35676,0.7248079143561745,both tolerable,0.0,1.0541954870895625,34898,0.0012392752945776797,-778
11.0,696,0.6310679611650486,both tolerable,0.0,1.739843048383334,18645,0.6319121882865817,both tolerable,0.0,1.739843048383334,18454,0.0008442271215330921,-191
11.0,194,0.7988878889174595,both tolerable,0.8095744354916121,1.345667690480501,32319,0.8052425321560401,both tolerable,0.8095744354916121,1.345667690480501,31592,0.006354643238580593,-727
11.0,305,0.6913603249427065,both tolerable,1.841961526640825,0.0,27491,0.692828551120422,both tolerable,1.841961526640825,0.0,27282,0.0014682261777154704,-209
11.0,344,0.7434909550612527,both tolerable,2.31325209475886,0.0,34346,0.7374897207078245,both tolerable,2.31325209475886,0.0,33566,-0.006001234353428253,-780
11.5,28,0.6721550432158327,both tolerable,1.0737001589130926,0.8375058302035873,24524,0.6733366476095782,both tolerable,1.0737001589130926,0.8375058302035873,24091,0.0011816043937454834,-433
11.5,380,0.5668220825731468,both tolerable,2.504064688825013,1.739843048383334,38517,0.5778950713663935,both tolerable,2.3495403733114086,1.739843048383334,36895,0.011072988793246696,-1622
11.5,854,0.6434121464997682,both tolerable,1.2734375,0.63671875,29549,0.6415648474123162,both tolerable,1.2734375,0.63671875,28741,-0.001847299087451959,-808
11.5,937,0.690336369062518,both tolerable,1.390625,2.160392872438078,27914,0.6915407504733934,both tolerable,1.390625,2.160392872438078,27731,0.0012043814108753104,-183
11.5,315,0.6465017124484518,both tolerable,0.0,1.2113217636280884,28013,0.6460455834471169,both tolerable,0.0,1.2113217636280884,27911,-0.00045612900133484846,-102
11.5,428,0.6286571450550014,both tolerable,0.0,1.2202077119702048,33956,0.6321380132080973,both tolerable,0.0,1.2202077119702048,34849,0.003480868153095895,893
11.5,752,0.5832407152682256,both tolerable,0.0,0.5,56656,0.5477250083028894,found but incorrect,14.23387813433725,1.345667690480501,26001,-0.035515706965336236,-30655
11.5,13,0.572931397233815,both tolerable,2.0859375,1.1031404921008474,25372,0.5748431220475216,both tolerable,2.0859375,1.1031404921008474,24118,0.0019117248137066056,-1254
11.5,538,0.7438204136539431,both tolerable,0.0,0.8095744354916121,22862,0.612718180035301,both tolerable,0.0,0.8095744354916121,16078,-0.13110223361864215,-6784
11.5,965,0.6573562529365067,both tolerable,1.546875,1.4820293967437017,34060,0.6610553050160364,both tolerable,1.546875,1.4820293967437017,33760,0.0036990520795296966,-300
